section,topology_label,topology_class,traffic,rate,sample_count,completion_count,accepted_throughput_mean,accepted_throughput_sd,accepted_throughput_ci95,average_packet_latency_cycles_mean,average_packet_latency_cycles_sd,average_packet_latency_cycles_ci95,average_hops_mean,average_hops_sd,average_hops_ci95,delivered_escape_fraction_mean,delivered_escape_fraction_sd,delivered_escape_fraction_ci95,max_link_utilization_mean,max_link_utilization_sd,max_link_utilization_ci95,p95_link_utilization_mean,p95_link_utilization_sd,p95_link_utilization_ci95,link_utilization_cv_mean,link_utilization_cv_sd,link_utilization_cv_ci95,per_source_throughput_jain_mean,per_source_throughput_jain_sd,per_source_throughput_jain_ci95,express_traversals_per_packet_mean
main,random_p1,random,cutstress_bidirectional,0.05,2,2,0.025021328125,1.1048543456112186e-07,1.5312500000100311e-07,12.64999234,0.004637978290204941,0.006427909963999809,3.788024587015,0.0020409664330732274,0.00282863516180039,0.0,0.0,0.0,0.10184,0.00046669047558311707,0.000646799999999994,0.076575,0.00012020815280171555,0.0001666000000000034,1.233245347615,0.00029493022913740523,0.00040875244339992454,0.9996950741555,5.754317110590485e-05,7.975076633992771e-05,0.144648474318414
main,random_p1,random,cutstress_bidirectional,0.1,2,2,0.04999890625,9.523844459106391e-05,0.00013199375000000108,12.78818623165,0.00959163485692835,0.01329332769799862,3.813733492275,0.0048516579621018865,0.006724054880199901,0.0,0.0,0.0,0.201615,0.00033234018715767605,0.0004605999999999982,0.15278,0.00033941125496952896,0.00047039999999998075,1.221866520905,0.0007480647464763869,0.0010367648438000952,0.9998251323039999,1.9052884738863602e-05,2.6405951040031624e-05,0.12761125312846733
main,random_p1,random,cutstress_bidirectional,0.15,2,2,0.074979296875,8.761494960639557e-05,0.00012142812499999988,12.9411947433,0.0026091083399086296,0.0036160396719995443,3.83193947595,0.001011253277475421,0.0014015255379999831,0.0,0.0,0.0,0.302415,0.00033234018715765643,0.00046059999999997097,0.23665,0.0001697056274847841,0.0002352000000000176,1.2160850719499998,0.00036394910478466057,0.0005044077248000133,0.9998988264124999,1.416372288666417e-05,1.9629918420014378e-05,0.11391345192179468
main,random_p1,random,cutstress_bidirectional,0.2,2,2,0.099971953125,8.805689134464006e-05,0.00012204062500000389,13.15188971485,0.003004879753005106,0.004164550866000134,3.84779139752,0.0006534949915552216,0.0009056978504002798,0.0,0.0,0.0,0.40259999999999996,0.0015273506473629393,0.002116799999999995,0.32302,0.00016970562748474486,0.0002351999999999632,1.213099518685,0.0003363552172429531,0.0004661645477999343,0.9999092865065,2.993083302688947e-06,4.14820181997566e-06,0.10271702830456575
main,random_p1,random,cutstress_bidirectional,0.25,2,2,0.124913203125,2.4417281037846017e-05,3.3840624999997294e-05,13.49405476205,0.004635816735486302,0.006424914202000877,3.8605676836900003,0.0013003755789994316,0.001802228604399767,0.0,0.0,0.0,0.50259,0.0009050966799187439,0.0012543999999999487,0.41296,0.00026870057685088203,0.0003723999999999916,1.211579935005,7.778057920427327e-05,0.00010779838299991961,0.9999373894870001,1.543387829157265e-05,2.139026399995858e-05,0.09324036113958599
main,random_p1,random,cutstress_bidirectional,0.3,2,2,0.149891171875,4.010621274541738e-05,5.5584374999990135e-05,14.23378935195,0.007352516746163124,0.010190068321999205,3.87389592335,0.0006396412989295801,0.0008864976120001521,0.0,0.0,0.0,0.6029100000000001,0.0009475230867899792,0.0013132000000000076,0.505675,0.001774838020778243,0.002459800000000012,1.2107959127,0.00044928883225659225,0.0006226825528000423,0.9999487042005,3.4102154923931667e-06,4.726317539958113e-06,0.08497466106255777
main,random_p1,random,cutstress_bidirectional,0.35,2,2,0.174906796875,0.0001307042690849485,0.00018114687499999667,17.66872629025,0.06802132256360131,0.09427274336199999,3.887035514485,0.0008140084925139255,0.00112815821300007,6.254748331775e-06,3.794764649113294e-06,5.2592754801341994e-06,0.7031499999999999,0.000848528137423842,0.0011759999999999791,0.6044700000000001,0.0007353910524340383,0.00101920000000004,1.211521593465,0.0002705771180398641,0.00037500075339980555,0.999958516243,3.661540335839634e-08,5.074636002078136e-08,0.0753401595967205
main,random_p1,random,cutstress_bidirectional,0.36,2,2,0.17991804687500002,0.00010043126001538757,0.00013919062499998024,21.047527404900002,0.1644709470963447,0.2279451031199985,3.890699416425,0.0013819145438830453,0.0019152358442000314,9.985302232715e-06,6.749389317942233e-06,9.354176352946598e-06,0.72336,0.0004808326112068622,0.0006664000000000136,0.626565,0.0015202795795510667,0.002106999999999985,1.2122763615149998,0.00020815800232175543,0.00028849227259991833,0.9999618509429999,2.7980314325873274e-06,3.877873719912995e-06,0.07223651248898058
main,random_p1,random,cutstress_bidirectional,0.37,2,2,0.184893515625,0.00010396679392132385,0.00014409062499998515,40.80082424865,4.266239879623137,5.9127068121379995,3.89690720283,0.001845876782301208,0.002558254700399978,2.070465616705e-05,6.092048761392845e-07,8.443148821379977e-07,0.7431049999999999,0.0010677312395916947,0.001479800000000011,0.64959,0.000834386001800097,0.0011563999999999596,1.21325042968,0.0001756917389357971,0.00024349632719991907,0.9999633176695,3.284970618192977e-07,4.5527370002407247e-07,0.06766572054786822
main,random_p1,random,cutstress_bidirectional,0.38,2,2,0.18796359375,9.87739784970051e-05,0.0001368937500000128,736.744352405,41.474487804781845,57.48070748308001,3.88448820061,0.0012110300209015597,0.001678401978399959,1.53784906516e-05,5.797209857217528e-07,8.034522947920021e-07,0.74999,0.0,0.0,0.677765,0.00030405591591024474,0.00042140000000004055,1.217207929495,0.00025848627090430283,0.00035824369420010875,0.9997149579219999,8.761861949122723e-06,1.2143321120088313e-05,0.06148090326984072
main,random_p1,random,cutstress_bidirectional,0.39,2,2,0.18922265625,7.380427028635837e-05,0.00010228750000001728,1949.4084189300002,45.42617637763234,62.95746842559996,3.856341239415,0.0014842303212520762,0.0020570382770000607,3.509412715105e-05,5.702030626455456e-07,7.902611264100059e-07,0.74999,0.0,0.0,0.68475,0.00021213203435594088,0.00029399999999996757,1.22478849363,0.00011833101057180194,0.00016399841359995726,0.9982374232465,4.694830170382638e-05,6.506702649993645e-05,0.05500550868979368
