traffic,topology,configured_injection_rate,seeds,accepted_throughput_mean,accepted_throughput_sd,average_packet_latency_cycles_mean,average_packet_latency_cycles_sd,express_traversals_per_packet_mean,delivered_escape_fraction_mean,max_link_utilization_mean
cutstress,mesh,0.4,"[1, 2, 3]",0.09375010416666667,3.210632293204025e-07,4034.8145995100003,48.18602760540163,0.0,0.0,0.74999
cutstress,mesh,0.5,"[1, 2, 3]",0.09375010416666667,2.6557393299592073e-07,11714.896472433335,14.352936269098626,0.0,0.0,0.74999
cutstress,mesh,0.6,"[1, 2, 3]",0.09374973958333332,4.480377743253832e-07,18344.116034366667,4.702664413805143,0.0,0.0,0.74999
cutstress,mesh,0.8,"[1, 2, 3]",0.09375,0.0,24838.56786,32.05954657430366,0.0,0.0,0.74999
cutstress,stride_aspl,0.1,"[1, 2, 3]",0.025028802083333333,4.3022472729055034e-05,10.6447684875,0.002925452218933097,0.5921535621061874,0.0,0.17455333333333334
cutstress,stride_aspl,0.2,"[1, 2, 3]",0.050021249999999996,7.325520370452715e-05,10.8781247751,0.0013829227863382605,0.5310944866579075,0.0,0.2945233333333333
cutstress,stride_aspl,0.3,"[1, 2, 3]",0.07498442708333333,1.567301649908164e-05,11.1746645764,0.0017509246849076396,0.4711103882262991,0.0,0.44435
cutstress,stride_aspl,0.35,"[1, 2, 3]",0.08747333333333333,1.4069057113238684e-05,11.417332996433332,0.0032670299204958196,0.44434432235792914,0.0,0.5472833333333335
cutstress,stride_aspl,0.4,"[1, 2, 3]",0.09994427083333333,3.5661607044743706e-05,12.018532621433332,0.01489800955453239,0.41888551655775436,5.209082138900001e-07,0.6537066666666667
cutstress,stride_aspl,0.5,"[1, 2, 3]",0.1186096875,3.0163400490770086e-06,2483.1422646833335,14.201472610355662,0.3733402562972816,3.425126269143333e-05,0.7501833333333333
cutstress,stride_aspl,0.6,"[1, 2, 3]",0.1304703125,4.5324531448672784e-05,5725.444732933333,11.022547932551038,0.3648861274814177,0.00010019927692873334,0.7506266666666667
cutstress,stride_aspl,0.8,"[1, 2, 3]",0.14140729166666666,2.2148709244128883e-05,12896.489614133332,18.48683138116358,0.3392170104593668,1.2155247950533335e-05,0.7500766666666667
cutstress,stride_random,0.1,"[1, 2, 3]",0.025028697916666665,4.30678465879392e-05,10.715632521233333,0.003408587673538908,0.5637247429393888,0.0,0.1925933333333333
cutstress,stride_random,0.2,"[1, 2, 3]",0.0500209375,7.325653678881856e-05,10.982688103266668,0.0038796890076383756,0.4978238547829936,0.0,0.34676666666666667
cutstress,stride_random,0.3,"[1, 2, 3]",0.07498447916666667,1.601865232228209e-05,11.368257454866667,0.0035781646937721213,0.4355471245644509,0.0,0.5128900000000001
cutstress,stride_random,0.35,"[1, 2, 3]",0.08747307291666667,1.3797463849585417e-05,11.769876104766666,0.005587351581929231,0.4090985419730706,0.0,0.5965133333333333
cutstress,stride_random,0.4,"[1, 2, 3]",0.09994385416666667,3.188835844809096e-05,14.851852188566667,0.3167750290810907,0.3828150031432576,0.0,0.7257199999999999
cutstress,stride_random,0.5,"[1, 2, 3]",0.11649135416666667,3.416658727124486e-05,3182.8393878966667,7.716132783535763,0.37024385039463265,0.000115346347541,0.7507533333333334
cutstress,stride_random,0.6,"[1, 2, 3]",0.12915083333333333,6.177566380775766e-05,6057.25641381,95.98662357695764,0.34995515822802786,7.9442025411e-05,0.7505799999999999
cutstress,stride_random,0.8,"[1, 2, 3]",0.13926744791666668,0.00017595102141154513,14135.610446966666,70.17422597033536,0.32682810961676456,7.109973907390001e-06,0.7500433333333333
uniform_random,aspl,0.1,"[1, 2, 3]",0.05009244791666667,3.958326480257311e-05,11.986562349300002,0.0027649221739112235,0.8107726883030094,0.0,0.11736333333333333
uniform_random,aspl,0.2,"[1, 2, 3]",0.10002744791666666,0.00012800657213080923,12.233618110933334,0.0017513899556867104,0.7720794941695011,0.0,0.20436666666666667
uniform_random,aspl,0.3,"[1, 2, 3]",0.14990286458333332,9.709118463424146e-05,12.511208595966666,0.00642194138883889,0.7244858268977724,0.0,0.2702733333333333
uniform_random,aspl,0.4,"[1, 2, 3]",0.19988942708333335,6.680612854195557e-05,12.849289935,0.00304436551908829,0.6776182240886803,0.0,0.3223133333333333
uniform_random,aspl,0.45,"[1, 2, 3]",0.2248853125,6.500688565291962e-05,13.0569913972,0.002480012060719858,0.6553192161363225,0.0,0.35978333333333334
uniform_random,aspl,0.5,"[1, 2, 3]",0.2498272916666667,5.647889385769244e-05,13.309431950666665,0.005282971232316815,0.6342483982100848,4.1708792547000003e-07,0.4076666666666666
uniform_random,aspl,0.55,"[1, 2, 3]",0.2747627604166667,4.222805406772656e-05,13.628655682533335,0.0008981546360709766,0.6133755500612833,9.47787146331e-06,0.45391333333333334
uniform_random,aspl,0.6,"[1, 2, 3]",0.29974765625000005,6.864587285025803e-05,14.1272430871,0.0037579237992146947,0.5921215556321019,9.052909336356666e-05,0.49574333333333337
uniform_random,aspl,0.7,"[1, 2, 3]",0.34291072916666665,0.00044900795476938234,1201.8920354,67.36898201265058,0.4686671760837797,0.021696725981633334,0.5825166666666667
uniform_random,aspl,0.8,"[1, 2, 3]",0.33879583333333335,0.0003158947211119571,9439.566673243333,28.29951135272928,0.42992012586861433,0.04103588674606667,0.5927399999999999
uniform_random,mesh,0.1,"[1, 2, 3]",0.05009234375,3.9804821669305126e-05,15.667645052066666,0.007868386500966527,0.0,0.0,0.10159333333333333
uniform_random,mesh,0.2,"[1, 2, 3]",0.100026875,0.00012826599203819125,15.919927833366666,0.006808669076288962,0.0,0.0,0.20334333333333335
uniform_random,mesh,0.3,"[1, 2, 3]",0.14990395833333334,9.704473817058068e-05,16.290165008200002,0.012368170390996351,0.0,0.0,0.30338333333333334
uniform_random,mesh,0.4,"[1, 2, 3]",0.19989098958333332,6.550700370739715e-05,17.10508056473333,0.009079528569417098,0.0,1.1987507795743333e-05,0.40347333333333335
uniform_random,mesh,0.45,"[1, 2, 3]",0.22488526041666668,6.553184525904773e-05,18.2015060462,0.014026600443804693,0.0,0.00017000092680033332,0.45355000000000006
uniform_random,mesh,0.5,"[1, 2, 3]",0.24983114583333332,5.6412429447607746e-05,26.0939530731,0.22426793465740172,0.0,0.0032248649910733332,0.5040133333333333
uniform_random,mesh,0.55,"[1, 2, 3]",0.26312515625000005,0.0001956797796704446,2600.7981085133333,41.657699219156484,0.0,0.012995483818066667,0.5508033333333334
uniform_random,mesh,0.6,"[1, 2, 3]",0.2649903125,0.00017549831396091513,6738.091355619999,38.57695518056017,0.0,0.016808234882733333,0.5685600000000001
uniform_random,mesh,0.7,"[1, 2, 3]",0.26567098958333335,7.34286711595827e-05,12515.4107082,29.15770454609997,0.0,0.021708169757400003,0.5661433333333333
uniform_random,mesh,0.8,"[1, 2, 3]",0.2662288020833334,0.00010129888330421431,17325.5180946,19.527496337950964,0.0,0.026071397924966665,0.5738033333333333
uniform_random,stride_aspl,0.1,"[1, 2, 3]",0.05009213541666666,3.966356999467055e-05,11.966367325766667,0.0015269079782065519,0.8213120889611188,0.0,0.09777999999999999
uniform_random,stride_aspl,0.2,"[1, 2, 3]",0.10002770833333334,0.00012838783593055128,12.195225946533334,0.0019895364230495855,0.7850124853557588,0.0,0.17722000000000002
uniform_random,stride_aspl,0.3,"[1, 2, 3]",0.14990322916666668,9.692189165299951e-05,12.468122414433333,0.006475110032758979,0.7325846177528511,0.0,0.2445733333333333
uniform_random,stride_aspl,0.4,"[1, 2, 3]",0.19989010416666667,6.675616551061228e-05,12.803644904966667,0.0021624097624411537,0.6765963842667917,0.0,0.3013733333333333
uniform_random,stride_aspl,0.45,"[1, 2, 3]",0.22488541666666664,6.449426822346683e-05,12.998466254166667,0.002386951725105399,0.6498471694751617,0.0,0.3282133333333333
uniform_random,stride_aspl,0.5,"[1, 2, 3]",0.24982703125000003,5.58397947909241e-05,13.229525279666667,0.0045106986461491,0.6245669198885194,0.0,0.37521333333333334
uniform_random,stride_aspl,0.55,"[1, 2, 3]",0.27476307291666663,4.203915533876662e-05,13.506916102533333,0.001441735138694451,0.6012030137028924,7.582976563133332e-07,0.42257999999999996
uniform_random,stride_aspl,0.6,"[1, 2, 3]",0.29975,6.695781962829007e-05,13.883784732199999,0.002362876098031805,0.5789931181035812,1.0598689789776667e-05,0.4708833333333333
uniform_random,stride_aspl,0.7,"[1, 2, 3]",0.3496703645833333,0.00012433713130927446,16.263998343833332,0.06080086388611959,0.5306042117397671,0.00104235106337,0.5661133333333334
uniform_random,stride_aspl,0.8,"[1, 2, 3]",0.3395963020833333,0.017004037977049927,7269.71250613,145.83487868333114,0.42573736834195897,0.03698815013296667,0.58132
uniform_random,stride_random,0.1,"[1, 2, 3]",0.050092187499999996,3.931977774447831e-05,12.399786433300001,0.006417170518416954,0.7610235155387626,0.0,0.13497666666666666
uniform_random,stride_random,0.2,"[1, 2, 3]",0.10002765625,0.0001280533971671242,12.642905538299999,0.0024529527592055326,0.7232314530915321,0.0,0.23495666666666667
uniform_random,stride_random,0.3,"[1, 2, 3]",0.14990401041666668,9.685083143859066e-05,12.9349372359,0.005475776062589098,0.6712397419779949,0.0,0.30546999999999996
